codSilaboDetalle;codCurso;codSemana;codTematica
1;869;1;1
2;869;2;2
3;869;3;3
4;869;4;4
5;869;5;5
6;869;6;6
7;869;7;7
8;869;8;8
9;869;9;9
10;869;10;10
11;869;11;11
12;869;12;12
13;869;13;13
14;869;14;14
15;869;15;15
16;869;16;16
17;869;17;17
18;870;1;1
19;870;2;2
20;870;3;3
21;870;4;4
22;870;5;5
23;870;6;6
24;870;7;7
25;870;8;8
26;870;9;9
27;870;10;10
28;870;11;11
29;870;12;12
30;870;13;13
31;870;14;14
32;870;15;15
33;870;16;16
34;870;17;17
